1098000690,BTC,10.000000,DOGE,10000.000000,ETH,50.000000,USDT,50000.000000
3751552676,BTC,10.000000,DOGE,10000.000000,ETH,50.000000,USDT,50000.000000
4013531984,BTC,10.000000,DOGE,10000.000000,ETH,50.000000,USDT,50000.000000
4549119153,BTC,10.000000,DOGE,10000.000000,ETH,50.000000,USDT,50000.000000
5055383557,BTC,10.000000,DOGE,10000.000000,ETH,50.000000,USDT,50000.000000
5154864032,BTC,10.000000,DOGE,10000.000000,ETH,50.000000,USDT,50000.000000
8349681083,BTC,10.000000,DOGE,10000.000000,ETH,50.000000,USDT,50000.000000
d,DOGE,5.645732,ETH,0.938266,USDT,274.927702
rr,BTC,0.038803,DOGE,2.989503,ETH,2.467807,USDT,556.928119
rrr,BTC,7.761510,DOGE,10000.118974,ETH,52.316369,USDT,72309.465999
sc,BTC,9.248128,DOGE,10000.520072,ETH,50.463044,USDT,50000.293560
